rule_code,target_variable,rule_type,source_variables,step_count,label,spss_source_size,java_preview
表2-1-R016,BPC,ROW_CHECK,"Q81;Q82",1,"脉压差",92,"BPC = evalDecimal(""Q81 - Q82""); BPC = missing(BPC) || BPC != 0 ? 1 : 0"
表2-1-R017,乳龋失补,ROW_CHECK,"Q51;Q52;Q53",1,"乳龋失补",25,"乳龋失补 = evalDecimal(""Q51+Q52+Q53""); 乳龋失补 = missing(乳龋失补) || 乳龋失补 != 0 ? 1 : 0"
表2-1-R018,恒龋失补,ROW_CHECK,"Q54;Q55;Q56",1,"恒龋失补",25,"恒龋失补 = evalDecimal(""Q54+Q55+Q56""); 恒龋失补 = missing(恒龋失补) || 恒龋失补 != 0 ? 1 : 0"
表2-1-R019,地市编码缺失,ROW_CHECK,"CITY",1,"地市编码缺失",53,"recode(city -> 地市编码缺失); 地市编码缺失 = missing(地市编码缺失) || 地市编码缺失 != 0 ? 1 : 0"
表2-1-R020,县区编码缺失,ROW_CHECK,"COUNTY",1,"县区编码缺失",55,"recode(county -> 县区编码缺失); 县区编码缺失 = missing(县区编码缺失) || 县区编码缺失 != 0 ? 1 : 0"
表2-1-R021,城乡编码缺失或异常,ROW_CHECK,"POINT",1,"城乡编码缺失或异常",69,"recode(point -> 城乡编码缺失或异常); 城乡编码缺失或异常 = missing(城乡编码缺失或异常) || 城乡编码缺失或异常 != 0 ? 1 : 0"
表2-1-R022,学校编码缺失,ROW_CHECK,"SCHOOL",1,"学校编码缺失",55,"recode(school -> 学校编码缺失); 学校编码缺失 = missing(学校编码缺失) || 学校编码缺失 != 0 ? 1 : 0"
表2-1-R023,性别编码缺失或异常,ROW_CHECK,"GENDER",1,"性别编码缺失或异常",70,"recode(gender -> 性别编码缺失或异常); 性别编码缺失或异常 = missing(性别编码缺失或异常) || 性别编码缺失或异常 != 0 ? 1 : 0"
表2-1-R024,出生日期缺失,ROW_CHECK,"BIRTH",1,"出生日期缺失",54,"recode(birth -> 出生日期缺失); 出生日期缺失 = missing(出生日期缺失) || 出生日期缺失 != 0 ? 1 : 0"
表2-1-R025,检测日期缺失,ROW_CHECK,"EXAMINE",1,"检测日期缺失",78,"recode(examine -> 检测日期缺失); 检测日期缺失 = missing(检测日期缺失) || 检测日期缺失 != 0 ? 1 : 0"
表2-1-R026,证件类型缺失或异常,ROW_CHECK,"ZJTYPE",1,"证件类型缺失或异常",86,"recode(zjtype -> 证件类型缺失或异常); 证件类型缺失或异常 = missing(证件类型缺失或异常) || 证件类型缺失或异常 != 0 ? 1 : 0"
表2-1-R027,年级编码缺失或异常,ROW_CHECK,"GRADE",1,"年级编码缺失或异常",221,"recode(grade -> 年级编码缺失或异常); 年级编码缺失或异常 = missing(年级编码缺失或异常) || 年级编码缺失或异常 != 0 ? 1 : 0"
表2-1-R028,年龄异常,ROW_CHECK,"AGE2",1,"年龄异常",111,"recode(age2 -> 年龄异常); 年龄异常 = missing(年龄异常) || 年龄异常 != 0 ? 1 : 0"
表2-1-R029,年龄可疑,ROW_CHECK,"AGE2;GRADE",17,"年龄可疑",1686,"recode(age2 -> 年龄可疑); if evalCondition(""grade = 2"") then { recode(age2 -> 年龄可疑) }; if evalCondition(""grade = 3"") then { recode(age2 -> 年龄可疑) }; if evalCondition(""grade = 4"") then { recode(age2 -> 年龄可疑) }; if evalCondition(""grade = 5"") then { recode(age2 -> 年龄可疑) }; if evalCondition(""grade = 6"") then { recode(age2 -> 年龄可疑) }; if evalCondition(""grade = 11"") then { recode(age2 -> 年龄可疑) }; if evalCondition(""grade = 12"") then { recode(age2 -> 年龄可疑) }; if evalCondition(""grade = 13"") then { recode(age2 -> 年龄可疑) }; if evalCondition(""grade = 14"") then { recode(age2 -> 年龄可疑) }; if evalCondition(""grade = 21"") then { recode(age2 -> 年龄可疑) }; if evalCondition(""grade = 22"") then { recode(age2 -> 年龄可疑) }; if evalCondition(""grade = 23"") then { recode(age2 -> 年龄可疑) }; if evalCondition(""grade = 31"") then { recode(age2 -> 年龄可疑) }; if evalCondition(""grade = 32"") then { recode(age2 -> 年龄可疑) }; if evalCondition(""grade = 33"") then { recode(age2 -> 年龄可疑) }; if evalCondition(""grade = 41 | grade=42 | grade=43"") then { recode(age2 -> 年龄可疑) }; 年龄可疑 = missing(年龄可疑) || 年龄可疑 != 0 ? 1 : 0"
表2-1-R030,身高异常或缺失,ROW_CHECK,"Q6;GENDER;AGE",39,"身高异常或缺失",5413,"recode(Q6 -> 身高异常或缺失); if evalCondition(""gender = 1 & age = 6"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 1 & age = 7"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 1 & age = 8"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 1 & age = 9"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 1 & age = 10"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 1 & age = 11"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 1 & age = 12"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 1 & age = 13"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 1 & age = 14"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 1 & age = 15"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 1 & age = 16"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 1 & age = 17"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 1 & age = 18"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 1 & age = 19"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 1 & age = 20"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 1 & age = 21"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 1 & age = 22"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 1 & age = 23"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 1 & age = 24"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 2 & age = 6"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 2 & age = 7"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 2 & age = 8"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 2 & age = 9"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 2 & age = 10"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 2 & age = 11"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 2 & age = 12"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 2 & age = 13"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 2 & age = 14"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 2 & age = 15"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 2 & age = 16"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 2 & age = 17"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 2 & age = 18"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 2 & age = 19"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 2 & age = 20"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 2 & age = 21"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 2 & age = 22"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 2 & age = 23"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 2 & age = 24"") then { recode(Q6 -> 身高异常或缺失) }; 身高异常或缺失 = missing(身高异常或缺失) || 身高异常或缺失 != 0 ? 1 : 0"
表2-1-R031,体重异常或缺失,ROW_CHECK,"Q7;GENDER;AGE",39,"体重异常或缺失",5387,"recode(Q7 -> 体重异常或缺失); if evalCondition(""gender = 1 & age = 6"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 1 & age = 7"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 1 & age = 8"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 1 & age = 9"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 1 & age = 10"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 1 & age = 11"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 1 & age = 12"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 1 & age = 13"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 1 & age = 14"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 1 & age = 15"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 1 & age = 16"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 1 & age = 17"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 1 & age = 18"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 1 & age = 19"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 1 & age = 20"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 1 & age = 21"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 1 & age = 22"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 1 & age = 23"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 1 & age = 24"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 2 & age = 6"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 2 & age = 7"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 2 & age = 8"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 2 & age = 9"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 2 & age = 10"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 2 & age = 11"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 2 & age = 12"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 2 & age = 13"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 2 & age = 14"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 2 & age = 15"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 2 & age = 16"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 2 & age = 17"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 2 & age = 18"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 2 & age = 19"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 2 & age = 20"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 2 & age = 21"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 2 & age = 22"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 2 & age = 23"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 2 & age = 24"") then { recode(Q7 -> 体重异常或缺失) }; 体重异常或缺失 = missing(体重异常或缺失) || 体重异常或缺失 != 0 ? 1 : 0"
表2-1-R032,BMI异常或缺失,ROW_CHECK,"BMI",1,"BMI异常或缺失",117,"recode(BMI -> BMI异常或缺失); BMI异常或缺失 = missing(BMI异常或缺失) || BMI异常或缺失 != 0 ? 1 : 0"
表2-1-R033,腰围异常或缺失,ROW_CHECK,"Q09",1,"腰围异常或缺失",170,"recode(Q09 -> 腰围异常或缺失); 腰围异常或缺失 = missing(腰围异常或缺失) || 腰围异常或缺失 != 0 ? 1 : 0"
表2-1-R034,收缩压可疑,ROW_CHECK,"Q81",1,"收缩压可疑",71,"recode(Q81 -> 收缩压可疑); 收缩压可疑 = missing(收缩压可疑) || 收缩压可疑 != 0 ? 1 : 0"
表2-1-R035,舒张压可疑,ROW_CHECK,"Q82",1,"舒张压可疑",52,"recode(Q82 -> 舒张压可疑); 舒张压可疑 = missing(舒张压可疑) || 舒张压可疑 != 0 ? 1 : 0"
表2-1-R036,压差可疑,ROW_CHECK,"BPC;Q81;Q82",3,"压差可疑",360,"recode(BPC -> 压差可疑); if evalCondition(""Q81=999 AND Q82=999"") then 压差可疑 = 0; recode(压差可疑 -> 压差可疑); 压差可疑 = missing(压差可疑) || 压差可疑 != 0 ? 1 : 0"
表2-1-R037,乳龋可疑,ROW_CHECK,"乳龋失补;Q51;Q52;Q53",5,"乳龋可疑",329,"recode(乳龋失补 -> 乳龋可疑); recode(Q51 -> 乳龋可疑); recode(Q52 -> 乳龋可疑); recode(Q53 -> 乳龋可疑); if evalCondition(""Q51=99 AND Q52=99 AND Q53=99"") then 乳龋可疑 = 0; 乳龋可疑 = missing(乳龋可疑) || 乳龋可疑 != 0 ? 1 : 0"
表2-1-R038,恒龋可疑,ROW_CHECK,"恒龋失补;Q54;Q55;Q56",5,"恒龋可疑",372,"recode(恒龋失补 -> 恒龋可疑); recode(Q54 -> 恒龋可疑); recode(Q55 -> 恒龋可疑); recode(Q56 -> 恒龋可疑); if evalCondition(""Q54=99 AND Q55=99 AND Q56=99"") then 恒龋可疑 = 0; 恒龋可疑 = missing(恒龋可疑) || 恒龋可疑 != 0 ? 1 : 0"
表2-1-R039,学段,ROW_CHECK,"学校类型",1,"学段",55,"recode(学校类型 -> 学段); 学段 = missing(学段) || 学段 != 0 ? 1 : 0"
